doi,title,type,publisher
10.11647/obp.0042,In the Land of the Romanovs: An Annotated Bibliography of First-hand English-language Accounts of the Russian Empire (1613-1917),monograph,Open Book Publishers
10.11647/obp.0043,A Time Travel Dialogue,monograph,Open Book Publishers
10.11647/obp.0044,Denis Diderot’s ‘Rameau’s Nephew’: A Multi-media Edition,monograph,Open Book Publishers
10.11647/obp.0046,Resemblance and Representation: An Essay in the Philosophy of Pictures,monograph,Open Book Publishers
10.11647/obp.0047,Cultural Heritage Ethics: Between Theory and Practice,monograph,Open Book Publishers
10.11647/obp.0049,Stories from Quechan Oral Literature,monograph,Open Book Publishers
10.11647/obp.0050,Democracy and Power,monograph,Open Book Publishers
10.11647/obp.0048,God's Babies: Natalism and Bible Interpretation in Modern America,monograph,Open Book Publishers
10.11647/obp.0052,From Dust to Digital: Ten Years of the Endangered Archives Programme,book,Open Book Publishers
10.11647/obp.0051,Measuring the Master Race: Physical Anthropology in Norway 1890-1945,monograph,Open Book Publishers
10.11647/obp.0053,Dictionary of the British English Spelling System,monograph,Open Book Publishers
10.11647/obp.0054,The Scientific Revolution Revisited,monograph,Open Book Publishers
10.11647/obp.0055,Animals and Medicine: The Contribution of Animal Experiments to the Control of Disease,monograph,Open Book Publishers
10.11647/obp.0056,Essays in Conveyancing and Property Law in Honour of Professor Robert Rennie,book,Open Book Publishers
10.11647/obp.0057,Thomas Annan of Glasgow: Pioneer of the Documentary Photograph,monograph,Open Book Publishers
10.11647/obp.0058,Fiesco’s Conspiracy at Genoa,monograph,Open Book Publishers
10.11647/obp.0059,"Complexity, Security and Civil Society in East Asia",book,Open Book Publishers
10.11647/obp.0060,What Works in Conservation 2015,monograph,Open Book Publishers
10.11647/obp.0064,A Musicology of Performance: Theory and Method Based on Bach's Solos for Violin,monograph,Open Book Publishers
10.11647/obp.0065,Mr. Emerson's Revolution,book,Open Book Publishers
10.11647/obp.0062,"Tellings and Texts: Music, Literature and Performance in North India",monograph,Open Book Publishers
10.11647/obp.0061,Beyond Price: Essays on Birth and Death,monograph,Open Book Publishers
10.11647/obp.0068,"Cornelius Nepos, 'Life of Hannibal': Latin text, notes, maps, illustrations and vocabulary",book,Open Book Publishers
10.11647/obp.0066,Vertical Readings in Dante's Comedy: Volume 1,monograph,Open Book Publishers
10.11647/obp.0085,Forests and Food: Addressing Hunger and Nutrition Across Sustainable Landscapes,book,Open Book Publishers
10.11647/obp.0086,Foundations for Moral Relativism: Second Expanded Edition,monograph,Open Book Publishers
10.11647/obp.0084,"Tyneside Neighbourhoods: Deprivation, Social Life and Social Behaviour in One British City",monograph,Open Book Publishers
10.11647/obp.0088,Tolerance: The Beacon of the Enlightenment,book,Open Book Publishers
10.11647/obp.0089,Intersex: Stories and Statistics from Australia,monograph,Open Book Publishers
10.11647/obp.0069,"The Life of August Wilhelm Schlegel, Cosmopolitan of Art and Poetry",monograph,Open Book Publishers
10.11647/obp.0087,Metaethics from a First Person Standpoint: An Introduction to Moral Philosophy,monograph,Open Book Publishers
10.11647/obp.0083,Knowledge and the Norm of Assertion: An Essay in Philosophical Science,monograph,Open Book Publishers
10.11647/obp.0071,Teaching Mathematics at Secondary Level,monograph,Open Book Publishers
10.11647/obp.0091,The Universal Declaration of Human Rights in the 21st Century: A Living Document in a Changing World,book,Open Book Publishers
10.11647/obp.0067,"Ovid, Amores (Book 1)",book,Open Book Publishers
10.11647/obp.0093,Intellectual Property and Public Health in the Developing World,book,Open Book Publishers
10.11647/obp.0098,Denis Diderot Rameau’s Nephew — Le Neveu de Rameau: A Multi-Media Bilingual Edition,book,Open Book Publishers
10.11647/obp.0090,Verdi in Victorian London,monograph,Open Book Publishers
10.11647/obp.0096,"The Environment in the Age of the Internet: Activists, Communication, and the Digital Landscape",book,Open Book Publishers
10.11647/obp.0099,Theatre and War: Notes from the Field,monograph,Open Book Publishers
10.11647/obp.0095,Digital Scholarly Editing: Theories and Practices,book,Open Book Publishers
10.11647/obp.0073,"Ovid, Metamorphoses, 3.511-733: Latin Text with Introduction, Commentary, Glossary of Terms, Vocabulary Aid and Study Questions",book,Open Book Publishers
10.11647/obp.0094,Piety in Pieces: How Medieval Readers Customized their Manuscripts,monograph,Open Book Publishers
10.11647/obp.0102,Literature Against Criticism: University English and Contemporary Fiction in Conflict,monograph,Open Book Publishers
10.11647/obp.0105,Woodstock Scholarship: An Interdisciplinary Annotated Bibliography,monograph,Open Book Publishers
10.11647/obp.0106,The Infrastructure Finance Challenge,book,Open Book Publishers
10.11647/obp.0081,Essays in Honour of Eammon Cantwell: Yeats Annual No. 20,book,Open Book Publishers
10.11647/obp.0100,Vertical Readings in Dante's Comedy: Volume 2,book,Open Book Publishers
10.11647/obp.0103,Open Education: International Perspectives in Higher Education,book,Open Book Publishers
10.11647/obp.0109,What Works in Conservation 2017,monograph,Open Book Publishers
10.11647/obp.0108,"Deliberation, Representation, Equity: Research Approaches, Tools and Algorithms for Participatory Processes",monograph,Open Book Publishers
10.11647/obp.0097,"Behaviour, Development and Evolution",monograph,Open Book Publishers
10.11647/obp.0101,Wallenstein: A Dramatic Poem,monograph,Open Book Publishers
10.11647/obp.0078,"Security in a Small Nation: Scotland, Democracy, Politics",book,Open Book Publishers
10.11647/obp.0116,L'idée de l’Europe au Siècle des Lumières,book,Open Book Publishers
10.11647/obp.0076,Twentieth-Century Russian Poetry: Reinventing the Canon,book,Open Book Publishers
10.11647/obp.0111,Searching for Sharing: Heritage and Multimedia in Africa,book,Open Book Publishers
10.11647/obp.0112,Just Managing? What it Means for the Families of Austerity Britain,monograph,Open Book Publishers
10.11647/obp.0113,Zombies in Western Culture: A Twenty-First Century Crisis,monograph,Open Book Publishers
10.11647/obp.0123,The Idea of Europe: Enlightenment Perspectives,book,Open Book Publishers
10.11647/obp.0117,Love and its Critics: From the Song of Songs to Shakespeare and Milton’s Eden,monograph,Open Book Publishers
10.11647/obp.0125,Ethics for A-Level,monograph,Open Book Publishers
10.11647/obp.0127,Die Europaidee im Zeitalter der Aufklärung,book,Open Book Publishers
10.11647/obp.0092,Dickens’s Working Notes for 'Dombey and Son',monograph,Open Book Publishers
10.11647/obp.0121,"World of Walls: The Structure, Roles and Effectiveness of Separation Barriers",monograph,Open Book Publishers
10.11647/obp.0128,Warlike and Peaceful Societies: The Interaction of Genes and Culture,monograph,Open Book Publishers
10.11647/obp.0104,Basic Knowledge and Conditions of Knowledgee,monograph,Open Book Publishers
10.11647/obp.0115,Modernism and the Spiritual in Russian Art: New Perspectives,book,Open Book Publishers
10.11647/obp.0075,Advanced Problems in Mathematics: Preparing for University,monograph,Open Book Publishers
10.11647/obp.0124,"Long Narrative Songs from the Mongghul of Northeast Tibet: Texts in Mongghul, Chinese, and English",monograph,Open Book Publishers
10.11647/obp.0122,"Information and Empire: Mechanisms of Communication in Russia, 1600-1850",book,Open Book Publishers
10.11647/obp.0119,Vertical Readings in Dante's Comedy: Volume 3,book,Open Book Publishers
10.11647/obp.0130,"Wellbeing, Freedom and Social Justice: The Capability Approach Re-Examined",monograph,Open Book Publishers
10.11647/obp.0129,Science as Social Existence: Heidegger and the Sociology of Scientific Knowledge,monograph,Open Book Publishers
10.11647/obp.0118,The Jewish Unions in America: Pages of History and Memories,monograph,Open Book Publishers
10.11647/obp.0110,An Anglo-Norman Reader,monograph,Open Book Publishers
10.11647/obp.0120,Text Genetics in Literary Modernism and Other Essays,monograph,Open Book Publishers
10.11647/obp.0107,Human and Machine Consciousness,monograph,Open Book Publishers
10.11647/obp.0135,Yeats's Legacies: Yeats Annual No. 21,book,Open Book Publishers
10.11647/obp.0138,Remote Capture: Digitising Documentary Heritage in Challenging Locations,book,Open Book Publishers
10.11647/obp.0114,"Mobilities, Boundaries, and Travelling Ideas: Rethinking Translocality Beyond Central Asia and the Caucasus",book,Open Book Publishers
10.11647/obp.0137,Tales of Darkness and Light: The Old Days of the Khasis,book,Open Book Publishers
10.11647/obp.0131,What Works in Conservation 2018,book,Open Book Publishers
10.11647/obp.0126,Exploring the Interior: Essays on Literary and Cultural History,monograph,Open Book Publishers
10.11647/obp.0139,Undocumented Migrants and Healthcare: Eight Stories from Switzerland,monograph,Open Book Publishers
10.11647/obp.0134,Don Carlos Infante of Spain: A Dramatic Poem,monograph,Open Book Publishers
10.11647/obp.0132,"The Juggler of Notre Dame and the Medievalizing of Modernity. Volume 1:
						The Middle Ages",monograph,Open Book Publishers
10.11647/obp.0133,Europa im Geisterkrieg. Studien zu Nietzsche,monograph,Open Book Publishers
10.11647/obp.0146,"The Juggler of Notre Dame and the Medievalizing of Modernity. Volume 3:
                        The American Middle Ages",monograph,Open Book Publishers
10.11647/obp.0143,"The Juggler of Notre Dame and the Medievalizing of Modernity. Volume 2:
                        Medieval Meets Medievalism",monograph,Open Book Publishers
10.11647/obp.0156,"Cicero, Philippic 2, 44–50, 78–92, 100–119. Latin Text, Study Aids with Vocabulary, and Commentary",book,Open Book Publishers
10.11647/obp.0140,The Red Countess: Select Autobiographical and Fictional Writing of Hermynia Zur Mühlen (1883-1951),monograph,Open Book Publishers
10.11647/obp.0144,With and Without Galton,monograph,Open Book Publishers
10.11647/obp.0141,ANZUS and the Early Cold War,monograph,Open Book Publishers
10.11647/obp.0147,"The Juggler of Notre Dame and the Medievalizing of Modernity. Volume 4:
                        Picture That: Making a Show of the Jongleur",monograph,Open Book Publishers
10.11647/obp.0155,"Hanging on to the Edges: Essays on Science, Society and the Academic Life",monograph,Open Book Publishers
10.11647/obp.0148,"The Juggler of Notre Dame and the Medievalizing of Modernity. Volume 5:
                        Tumbling into the Twentieth Century",monograph,Open Book Publishers
10.11647/obp.0142,The Life and Letters of William Sharp and “Fiona Macleod”. VOLUME I: 1855-1894,monograph,Open Book Publishers
10.11647/obp.0149,"The Juggler of Notre Dame and the Medievalizing of Modernity. Volume 6:
                        War and Peace, Sex and Violence",monograph,Open Book Publishers
10.11647/obp.0152,"A Fleet Street in Every Town: The Provincial Press in England, 1855-1900",monograph,Open Book Publishers
10.11647/obp.0158,"Virgil, Aeneid 11 (Pallas and Camilla), 1–224, 498–521, 532–96, 648–89, 725–835",book,Open Book Publishers
10.11647/obp.0157,Delivering on the Promise of Democracy,monograph,Open Book Publishers
10.11647/obp.0150,Life Histories of Etnos Theory in Russia and Beyond,book,Open Book Publishers
10.11647/obp.0160,"Hyperion, or the Hermit in Greece",monograph,Open Book Publishers
10.11647/obp.0153,Women and Migration,book,Open Book Publishers
10.11647/obp.0159,Whose Book is it Anyway?,book,Open Book Publishers
10.11647/obp.0151,From Darkness to Light,book,Open Book Publishers
10.11647/obp.0115.01,1. Introduction: Modernism and the Spiritual in Russian Art,book-chapter,Open Book Publishers
10.11647/obp.0115.02,2. From Angels to Demons: Mikhail Vrubel and the Search for a Modernist Idiom,book-chapter,Open Book Publishers
10.11647/obp.0115.03,"3. ‘The Loving Labourer through Space and Time’: Aleksandra Pogosskaia, Theosophy, and Russian Arts and Crafts, c. 1900–1917",book-chapter,Open Book Publishers
10.11647/obp.0115.07,"7. ‘Russian Messiah’: On the Spiritual in the Reception of Vasily Kandinsky’s Art in Germany, c. 1910–1937",book-chapter,Open Book Publishers
10.11647/obp.0115.08,8. Ellis H. Minns and Nikodim Kondakov’s The Russian Icon (1927),book-chapter,Open Book Publishers
10.11647/obp.0115.04,"4. Kazimir Malevich, Symbolism, and Ecclesiastic Orthodoxy",book-chapter,Open Book Publishers
10.11647/obp.0115.09,9. Stelletsky’s Murals at Saint-Serge: Orthodoxy and the Neo-Russian Style in Emigration,book-chapter,Open Book Publishers
10.11647/obp.0122.01,1. Early Mapping: The Tsardom in Manuscript,book-chapter,Open Book Publishers
10.11647/obp.0122.02,2. New Technology and the Mapping of Empire: The Adoption of the Astrolabe,book-chapter,Open Book Publishers
10.11647/obp.0122.03,3. Muscovy and the European Information Revolution: Creating the Mechanisms for Obtaining Foreign News,book-chapter,Open Book Publishers
10.11647/obp.0122.04,4. How Was Western Europe Informed about Muscovy? The Razin Rebellion in Focus,book-chapter,Open Book Publishers
10.11647/obp.0122.05,"5. Communication and Obligation: The Postal System of the Russian Empire, 1700–1850",book-chapter,Open Book Publishers
10.11647/obp.0122.06,"6. Information and Efficiency: Russian Newspapers, ca.1700–1850",book-chapter,Open Book Publishers
10.11647/obp.0122.07,7. What Was News and How Was It Communicated in Pre-Modern Russia?,book-chapter,Open Book Publishers
10.11647/obp.0122.08,8. Bureaucracy and Knowledge Creation: The Apothecary Chancery,book-chapter,Open Book Publishers
10.11647/obp.0122.09,9. What Could the Empress Know About Her Money? Russian Poll Tax Revenues in the Eighteenth Century,book-chapter,Open Book Publishers
10.11647/obp.0122.10,"10. Communication and Official Enlightenment: The Journal of the Ministry of Public Education, 1834–1855",book-chapter,Open Book Publishers
10.11647/obp.0122.11,11. Information in Plain Sight: The Formation of the Public Graphosphere,book-chapter,Open Book Publishers
10.11647/obp.0122.12,12. Experiencing Information: An Early Nineteenth-Century Stroll Along Nevskii Prospekt,book-chapter,Open Book Publishers
10.11647/obp.0122.13,Introduction,book-chapter,Open Book Publishers
10.11647/obp.0115.05,5. Spirituality and the Semiotics of Russian Culture: From the Icon to Avant-Garde Art,book-chapter,Open Book Publishers
10.11647/obp.0115.06,"6. Re-imagining the Old Faith: Goncharova, Larionov, and the Cultural Traditions of Old Believers",book-chapter,Open Book Publishers
10.11647/obp.0115.10,10. The Role of the ‘Red Commissar’ Nikolai Punin in the Rediscovery of Icons,book-chapter,Open Book Publishers
10.11647/obp.0115.11,"11. Ucha Japaridze, Lado Gudiashvili, and the Spiritual in Painting in Soviet Georgia",book-chapter,Open Book Publishers
10.11647/obp.0119.01,Introduction,book-chapter,Open Book Publishers
10.11647/obp.0119.02,"23. Our Bodies, Our Selves: Crucified, Famished, and Nourished",book-chapter,Open Book Publishers
10.11647/obp.0119.03,"24. True Desire, True Being, and Truly Being a Poet",book-chapter,Open Book Publishers
10.11647/obp.0119.04,25. Changes,book-chapter,Open Book Publishers
10.11647/obp.0119.05,26. The Poetics of Trespassing,book-chapter,Open Book Publishers
10.11647/obp.0119.06,27. Containers and Things Contained,book-chapter,Open Book Publishers
10.11647/obp.0119.07,28. Cosmographic Cartography of the ‘Perfect’ Twenty-Eights,book-chapter,Open Book Publishers
10.11647/obp.0119.08,"29. Truth, Untruth and the Moment of Indwelling",book-chapter,Open Book Publishers
10.11647/obp.0119.09,"30. Brooks, Melting Snow, River of Light",book-chapter,Open Book Publishers
10.11647/obp.0119.10,31. Beauty and the Beast,book-chapter,Open Book Publishers
10.11647/obp.0119.11,"32. Particular Surprises: Faces, Cries and Transfiguration",book-chapter,Open Book Publishers
10.11647/obp.0119.12,"33 and 34. Ice, Fire and Holy Water",book-chapter,Open Book Publishers
10.11647/obp.0166,Vertical Readings in Dante's Comedy (three-volume set),book-set,Open Book Publishers
10.11647/obp.0165,"The Juggler of Notre Dame and the Medievalizing of Modernity
							(six-volume set)",book-set,Open Book Publishers
10.11647/obp.0150.01,1. Grounding Etnos Theory: An Introduction,book-chapter,Open Book Publishers
10.11647/obp.0150.02,2. Etnos Thinking in the Long Twentieth Century,book-chapter,Open Book Publishers
10.11647/obp.0150.03,3. Ukrainian Roots of the Theory of Etnos,book-chapter,Open Book Publishers
10.11647/obp.0150.04,4. Mapping Etnos: The Geographic Imagination of Fёdor Volkov and his Students,book-chapter,Open Book Publishers
10.11647/obp.0150.05,5. Notes from His “Snail’s Shell”: Shirokogoroff’s Fieldwork and the Groundwork for Etnos Thinking,book-chapter,Open Book Publishers
10.11647/obp.0150.06,6. Order out of Chaos: Anthropology and Politics of Sergei M. Shirokogoroff,book-chapter,Open Book Publishers
10.11647/obp.0150.07,7. Chasing Shadows: Sharing Photographs from Former Northwest Manchuria,book-chapter,Open Book Publishers
10.11647/obp.0150.08,"8. ""The Sea is Our Field"": Pomor Identity in Russian Ethnography",book-chapter,Open Book Publishers
10.11647/obp.0150.09,9. Epilogue: Why Etnos (Still) Matters,book-chapter,Open Book Publishers
10.11647/obp.0160.01,"Hyperion, or the Hermit in Greece",book-chapter,Open Book Publishers
10.11647/obp.0160.02,Afterword,book-chapter,Open Book Publishers
10.11647/obp.0153.01,1. Between Self and Memory,book-chapter,Open Book Publishers
10.11647/obp.0153.02,2. Fragments of Memory: Writing the Migrant’s Story,book-chapter,Open Book Publishers
10.11647/obp.0153.03,3. A Congolese Woman’s Life in Europe: A Postcolonial Diptych of Migration,book-chapter,Open Book Publishers
10.11647/obp.0153.04,4. Migrations,book-chapter,Open Book Publishers
10.11647/obp.0153.05,5. Carrying Memory,book-chapter,Open Book Publishers
10.11647/obp.0153.06,6. Making Through Motion,book-chapter,Open Book Publishers
10.11647/obp.0153.07,7. Strange Set of Circumstances,book-chapter,Open Book Publishers
10.11647/obp.0153.08,8. Nora Holt: New Negro Composer and Jazz Age Goddess,book-chapter,Open Book Publishers
10.11647/obp.0153.09,"9. Silsila: Linking Bodies, Deserts, Water",book-chapter,Open Book Publishers
10.11647/obp.0153.10,10. My Baby Saved My Life: Migration and Motherhood in an American High School,book-chapter,Open Book Publishers
10.11647/obp.0153.11,11. Visualizing Displacement Above The Fold,book-chapter,Open Book Publishers
10.11647/obp.0153.12,12. Unveiling Violence: Gender and Migration in the Discourse of Right-Wing Populism,book-chapter,Open Book Publishers
10.11647/obp.0153.13,13. A Different Lens,book-chapter,Open Book Publishers
10.11647/obp.0153.14,14. Reinventing the Spaces Within: The Early Images of Artist Lalla Essaydi,book-chapter,Open Book Publishers
10.11647/obp.0153.15,15. Swimming with E. C.,book-chapter,Open Book Publishers
10.11647/obp.0153.16,"16. Kinship, the Middle Passage, and the Origins of Racial Slavery",book-chapter,Open Book Publishers
10.11647/obp.0153.17,17. Black Women's Work: Resisting and Undoing Character Education and the 'Good' White Liberal Agenda,book-chapter,Open Book Publishers
10.11647/obp.0153.18,18. Filipina Stories,book-chapter,Open Book Publishers
10.11647/obp.0153.20,20. What Would It Mean to Sing A Black Girl’s Song?: A Brief Statement on the Reality of Anti-Black Girl Terror,book-chapter,Open Book Publishers
10.11647/obp.0153.21,21. Fredi’s Migration?: Washington’s Forgotten War on Hollywood,book-chapter,Open Book Publishers
10.11647/obp.0153.22,22. Julia de Burgos: Cultural Crossing and Iconicity,book-chapter,Open Book Publishers
10.11647/obp.0153.23,23. Sarah Parker Remond’s Black American Grand Tour,book-chapter,Open Book Publishers
10.11647/obp.0153.24,24. Making Latinx Art: Juana Valdes at the Crossroads of Latinx and Latin American Art,book-chapter,Open Book Publishers
10.11647/obp.0153.25,25. Moving Mountains: Harriet Hosmer’s Nineteenth-Century Italian Migration to Become the First Professional Woman Sculptor,book-chapter,Open Book Publishers
10.11647/obp.0153.26,"26. Urban Candy: Screens, Selfies and Imaginings",book-chapter,Open Book Publishers
10.11647/obp.0153.27,27. Controlled Images and Cultural Reassembly: Material Black Girls Living in an Avatar World,book-chapter,Open Book Publishers
10.11647/obp.0153.28,"28. Supershero Amrita Simla, Partitioned Once, Migrated Twice",book-chapter,Open Book Publishers
10.11647/obp.0153.29,"29. Diaspora, Indigeneity, Queer Critique: Tracey Moffatt’s Aesthetics of Dwelling in Displacement",book-chapter,Open Book Publishers
10.11647/obp.0153.30,30. The Performance of Doubles: The Transposition of Gender and Race inMing Wong’s Life of Imitation,book-chapter,Open Book Publishers
10.11647/obp.0153.31,31. The Roots of Black American Women’s Internationalism: Migrations of the Spirit and the Heart,book-chapter,Open Book Publishers
10.11647/obp.0153.32,"32. 'The World is Ours, Too': Millennial Women and the New Black Travel Movement",book-chapter,Open Book Publishers
10.11647/obp.0153.33,"33. Performing a Life: Mattie Allen McAdoo's Odyssey from Ohio to South Africa, Australia and Beyond, 1890-1900",book-chapter,Open Book Publishers
10.11647/obp.0153.34,34. 'I Don't Pay Those Borders No Mind At All:' Audley E. Moore ('Queen' Mother Moore) - Grassroots Global Traveler and Activist,book-chapter,Open Book Publishers
10.11647/obp.0153.35,35. Löis Mailou Jones in the World,book-chapter,Open Book Publishers
10.11647/obp.0153.36,36. The Ones Who Leave... the Ones Who Are Left: Guyanese Migration Story,book-chapter,Open Book Publishers
10.11647/obp.0153.37,37. The Acton Photograph Archive: Between Representation and Re-Interpretation,book-chapter,Open Book Publishers
10.11647/obp.0153.38,38. Reconciliations at Sea: Reclaiming the Lusophone Archipelago in Mónica de Miranda’s Video Works,book-chapter,Open Book Publishers
10.11647/obp.0153.39,39. Transnational Minor Literature: Cristina Ali Farah’s Somali Italian Stories,book-chapter,Open Book Publishers
10.11647/obp.0153.40,40. Seizing Control of the Narrative,book-chapter,Open Book Publishers
10.11647/obp.0153.41,41. Migration as a Woman’s Right: Stories from Comparative and Transnational Slavery Histories in the North Atlantic and Indian Ocean Worlds,book-chapter,Open Book Publishers
10.11647/obp.0153.42,42. The Sacred Migration of Sister Gertrude Morgan,book-chapter,Open Book Publishers
10.11647/obp.0153.43,Introduction: Women and Migration[s],book-chapter,Open Book Publishers
10.11647/obp.0159.01,"1. A Statement by The Readers Project Concerning Contemporary Literary Practice, Digital Mediation, Intellectual Property, and Associated Moral Rights",book-chapter,Open Book Publishers
10.11647/obp.0159.02,"2. London-Havana Diary: Art Publishing, Sustainability, Free Speech and Free Papers",book-chapter,Open Book Publishers
10.11647/obp.0159.03,"3. The Ethics of Emergent Creativity: Can We Move Beyond Writing as Human Enterprise, Commodity and Innovation?",book-chapter,Open Book Publishers
10.11647/obp.0159.04,"4. Are Publishers Worth It? Filtering, Amplification and the Value of Publishing",book-chapter,Open Book Publishers
10.11647/obp.0159.05,5. Who Takes Legal Responsibility for Published Work? Why Both an Understanding and Lived Experience of Copyright Are Becoming Increasingly Important to Writers,book-chapter,Open Book Publishers
10.11647/obp.0159.06,"6. Telling Stories or Selling Stories: Writing for Pleasure, Writing for Art or Writing to Get Paid?",book-chapter,Open Book Publishers
10.11647/obp.0159.07,7. Copyright in the Everyday Practice of Writers,book-chapter,Open Book Publishers
10.11647/obp.0159.08,"8. Comics, Copyright and Academic Publishing: The Deluxe Edition",book-chapter,Open Book Publishers
10.11647/obp.0159.09,9. Diversity or Die: How the Face of Book Publishing Needs to Change if it is to Have a Future,book-chapter,Open Book Publishers
10.11647/obp.0159.10,10. Writing on the Cusp of Becoming Something Else,book-chapter,Open Book Publishers
10.11647/obp.0159.11,"11. Confronting Authorship, Constructing Practices (How Copyright is Destroying Collective Practice)",book-chapter,Open Book Publishers
10.11647/obp.0159.12,"12. Ethical Scholarly Publishing Practices, Copyright and Open Access: A View from Ethnomusicology and Anthropology",book-chapter,Open Book Publishers
10.11647/obp.0159.13,"13. Show Me the Copy! How Digital Media (Re)Assert Relational Creativity, Complicating Existing Intellectual Property and Publishing Paradigms",book-chapter,Open Book Publishers
10.11647/obp.0159.14,"14. Redefining Reader and Writer, Remixing Copyright: Experimental Publishing at if:book Australia",book-chapter,Open Book Publishers
10.11647/obp.0159.15,1. Publishing Industry,book-chapter,Open Book Publishers
10.11647/obp.0159.16,"2. Is the Current Copyright Framework Fit for Purpose in Relation to Writing, Reading and Publishing in the Digital Age?",book-chapter,Open Book Publishers
10.11647/obp.0159.17,"3. Is the Current Copyright Framework Fit for Purpose in Relation to Writing, Reading, and Publishing in the Digital Age?",book-chapter,Open Book Publishers
10.11647/obp.0159.18,4. History of Copyright Changes 1710–2013,book-chapter,Open Book Publishers
10.11647/obp.0159.19,"5. Is the Current Copyright Framework Fit for Purpose in Relation to Writing, Reading, and Publishing in the Digital Age?",book-chapter,Open Book Publishers
10.11647/obp.0159.20,"Introduction: Whose Book is it Anyway? A View from Elsewhere on Publishing, Copyright and Creativity",book-chapter,Open Book Publishers
